,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4: Distribution Wires Down 2015-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL WIRE-DOWN SUSTAINED OUTAGE DETAILS (2015-2019),,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRIBUTION CIRCUIT OUTAGES ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Including 2.5b ME Days, Transformer-Only, and Secondary & Service Conductor Wire-Down Outages; Excluding Fire Mitigation Outages))",,,,,,,,,,,,,,,,,,,,,,,,,,
Division,District Name,Feeder Name,Feeder #,Device,Oper #,Out Date,FNL,In Date,"In
Time",OIS #,Duration,Outage Level,Basic Cause,Supplemental Cause,CESO,C Min,"Open Point
Latitude","Open Point
Longitude",Fault Location,Weather,Failed Equipment,"Failed Equipment
Condition",Event #,"Const
Type",Sus/Mom,Tier
YOSEMITE     ,YOSEMITE        ,LIVINGSTON-1105             ,252261105,FUSE         ,19852,20170118,1933,20170119,0553,1648586,620,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,3,"1,860",37.32770,-120.86473,MTR 1005777526                                                                                      ,"Overcast,Drizzle;32-90 F                                        ",Pole-Wood                   ,"Broken, wire on ground      ",17-0010466,OH,Sus,Non 2/3  
NORTH BAY    ,NORTH BAY       ,GREENBRAE-1104              ,043091104,JUMPER       ,WIRE DOWN 9 POLES LD SIDE OF 5345                 ,20170209,2349,20170210,1009,1684395,620,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"1,111","120,348",37.91967,-122.48541,WIRE DOWN 9 POLES LD SIDE OF 5345                                                                   ,"Overcast,Rain;32-90 F                                           ",Connector or Splice (OH)    ,"Broken, wire on ground      ",17-0019730,OH,Sus,Non 2/3  
SIERRA       ,PLACER          ,ROCKLIN-1102                ,152061102,RECLOSER     ,2222,20190213,0250,20190213,1310,302279,620,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,253,"127,531",38.77079,-121.25241,8140 EAST DRIVE                                                                                     ,"Overcast,Drizzle;32-90 F                                        ",Insulator                   ,"Broken, wire on ground      ",19-0021740,OH,Sus,Non 2/3  
DE ANZA      ,DE ANZA         ,SARATOGA-1107               ,083371107,JUMPER       ,WIRE DOWN BET 2ND & 3RD SPAN W/OF 17735           ,20190327,0152,20190327,1346,348147,620,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,502,"127,160",37.25226,-122.04701,"BET 2ND & 3RD SPAN W/O 17735, 1 P N/O 15769                                                         ","Overcast,Drizzle,Strong Winds;32-90 F                           ","Conductor, Overhead         ","Broken, wire on ground      ",19-0037284,OH,Sus,Tier 3   
FRESNO       ,FRESNO          ,ASHLAN AVE-1116             ,252051116,FUSE         ,D10265                                            ,20170807,1427,20170808,0046,1847991,619,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,199,"40,735",36.77205,-119.82446,1 POLE N/OF D10265                                                                                  ,Clear;Above 90                                                  ,Pole-Wood                   ,"Broken, wire on ground      ",17-0068555,OH,Sus,Non 2/3  
PENINSULA    ,PENINSULA       ,HALF MOON BAY-1102          ,024101102,FUSE         ,5521,20171015,1600,20171016,0219,1901424,619,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,1,619,37.54401,-122.49932,1 SPAN LD SIDE OF 5521                                                                              ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0087574,OH,Sus,Tier 2   
SAN JOSE     ,SAN JOSE        ,MILPITAS-1109               ,082831109,TRANSFORMER  ,316017134361,20160305,0750,20160305,1808,1416342,618,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,20,"12,360",37.43568,-121.87307,Campedel/4642: REAR OF 1836 ELWELL                                                                  ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0017414,OH,Sus,Non 2/3  
YOSEMITE     ,YOSEMITE        ,LIVINGSTON-1105             ,252261105,FUSE         ,9848,20170118,2127,20170119,0745,1649268,618,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,3,"1,854",37.34568,-120.83150,Whitney / 2034 / 597-0961: 18246 1st                                                                ,Overcast;32-90 F                                                ,Pole-Wood                   ,"Broken, wire on ground      ",17-0010515,OH,Sus,Non 2/3  
MISSION      ,MISSION         ,DUMBARTON-2111              ,014472111,FUSE         ,11979,20170122,0912,20170122,1930,1659963,618,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,4,"2,472",37.54129,-122.07786,"8000 PATTERSON RANCH RD., FREMONT                                                                   ",Overcast;32-90 F                                                ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0013247,OH,Sus,Non 2/3  
YOSEMITE     ,YOSEMITE        ,CHOWCHILLA-1104             ,254101104,RECLOSER     ,11680,20170217,1602,20170218,0220,1697245,618,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,595,"61,814",37.09819,-120.20112,Porter / 2036 / 240-2029: 1005202490 MTR                                                            ,"Overcast,Drizzle;32-90 F                                        ","Conductor, Overhead         ","Broken, wire on ground      ",17-0022457,OH,Sus,Non 2/3  
LOS PADRES   ,SAN LUIS OBISPO ,CAYUCOS-1101                ,182551101,RECLOSER     ,W14                                               ,20170728,1650,20170729,0308,1841854,618,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,65,"10,337",35.47164,-120.97987,MTR 1009775536                                                                                      ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0066372,OH,Sus,Non 2/3  
FRESNO       ,FRESNO          ,ASHLAN AVE-1104             ,252051104,TRANSFORMER  ,417578352640,20180607,1956,20180608,0614,103963,618,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,8,"4,944",36.77702,-119.82800,"BOGART, LUKE/559-231-4153: ALLEY BEHIND ADDRESS GIVEN MTR#1008960410                                ",Clear;32-90F                                                    ,"Crossarm, Wood              ","Broken, wire on ground      ",18-0048686,OH,Sus,Non 2/3  
DE ANZA      ,DE ANZA         ,MOUNTAIN VIEW-1102          ,082031102,OTHER        ,WIRE DOWN IFO 258 PAUL AVE                        ,20180628,1913,20180629,0531,120622,618,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"4,217","52,581",37.38705,-122.07641,258 PAUL AVE                                                                                        ,Clear;32-90F                                                    ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0055578,OH,Sus,Non 2/3  
NORTH VALLEY ,CHICO           ,ESQUON-1102                 ,102171102,FUSE         ,6243,20181208,1332,20181208,2350,236356,618,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,17,"10,200",39.60228,-121.79683,"1 SPAN LD SIDE OF MTR#1010069575, 8200 DURNELL RD                                                   ",Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",18-0108092,OH,Sus,Non 2/3  
PENINSULA    ,SKYLINE         ,DALY CITY-1101              ,022641101,TRANSFORMER  ,                                                  ,20150610,0807,20150610,1824,1248264,617,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,33,"20,361",37.70399,-122.46957,430 NIANTIC AVEDALY CITY94014                                                                       ,Drizzle;32 - 90 F                                               ,Secondary                   ,"Broken, wire on ground      ",15-0039996,OH,Sus,Non 2/3  
EAST BAY     ,CENTRAL         ,OAKLAND K-1102              ,012101102,OTHER        ,                                                  ,20150620,1838,20150621,0455,1253924,617,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,781,"258,698",37.84023,-122.20358,"WIRE DOWN ON THORNHILL N/O OAKWOOD, AND OPEN JUMPERON THORNHILL W/O OAKWOOD                         ",Partly cloudy;32 - 90 F                                         ,Jumper                      ,"Broken, wire on ground      ",15-0042325,OH,Sus,Tier 3   
EAST BAY     ,BAY             ,RICHMOND R-1119             ,013471119,JUMPER       ,WIRE DOWN AT 2OTH AND BARRETT                     ,20151205,1213,20151205,2230,1354333,617,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,41,"25,297",37.93837,-122.35046,20TH AND BARRETT                                                                                    ,Partly Cloudy;32-90 F                                           ,Connector or Splice (OH)    ,"Broken, wire on ground      ",15-0082936,OH,Sus,Non 2/3  
NORTH VALLEY ,TEHEMA          ,VOLTA-1101                  ,102541101,JUMPER       ,WIRE DOWN 4 S/OF MTR# 1008942251                  ,20160101,0107,20160101,1124,1375521,617,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,677,"403,459",40.34831,-121.62111,4 SPANS LD SIDE OF MTR# 1008942251                                                                  ,"Strong Winds,Partly Cloudy;Below 32 F                           ","Conductor, Overhead         ","Broken, wire on ground      ",16-0002401,OH,Sus,Tier 2   
HUMBOLDT     ,FORTUNA         ,EEL RIVER-1102              ,192381102,OTHER        ,WIRE DOWN 3 SS FU 1987                            ,20160502,0641,20160502,1658,1463025,617,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,16,"9,872",40.50251,-124.27983,2 SPANS SS FU 1987                                                                                  ,Clear;32-90 F                                                   ,Connector or Splice (OH)    ,"Broken, wire on ground      ",16-0033194,OH,Sus,Tier 2   
SACRAMENTO   ,SOLANO          ,GRAND ISLAND-2227           ,062462227,RECLOSER     ,56352,20161120,0800,20161120,1817,1585540,617,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,881,"89,400",38.28935,-121.60589,2 POLES S/O 2897                                                                                    ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0081217,OH,Sus,Non 2/3  
STOCKTON     ,DELTA           ,RIPON-1704                  ,163801704,FUSE         ,15455,20170819,0826,20170819,1843,1855190,617,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,95,"21,661",37.69861,-121.24001,1W/OF 5481                                                                                          ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0071465,OH,Sus,Non 2/3  
NORTH VALLEY ,OROVILLE        ,PEACHTON-1102               ,103241102,FUSE         ,5077,20180605,1301,20180605,2318,102139,617,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,6,"3,702",39.39943,-121.71750,FARRIS RD 2.5 MILES WEST OF W BIGGS GRIDLEY RD.                                                     ,Clear;32-90F                                                    ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0047677,OH,Sus,Non 2/3  
KERN         ,KERN            ,CHARCA-1106                 ,254501106,RECLOSER     ,4326,20150718,1653,20150719,0328,1270190,616,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"1,483","163,168",35.58691,-119.33178,1 E/OF 7204                                                                                         ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",15-0048387,OH,Sus,Non 2/3  
NORTH VALLEY ,OROVILLE        ,PEACHTON-1101               ,103241101,RECLOSER     ,37470,20161215,1701,20161216,0317,1603711,616,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,49,"15,916",39.36235,-121.79935,FUCO TAP 611 TWD LR 37470                                                                           ,"Overcast,Fog,Rain,Strong Winds;32-90 F                          ","Conductor, Overhead         ","Broken, wire on ground      ",16-0085855,OH,Sus,Non 2/3  
MISSION      ,MISSION         ,SAN RAMON-2107              ,014232107,RECLOSER     ,MR287                                             ,20170406,2237,20170407,0922,1748465,616,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"1,704","990,881",37.70131,-121.93880,SILVERGATE AND ARBOR CREEK                                                                          ,"Overcast,Heavy Rain;32-90 F                                     ","Conductor, Overhead         ","Broken, wire on ground      ",17-0037406,OH,Sus,Non 2/3  
SACRAMENTO   ,SOLANO          ,CORDELIA-1104               ,062701104,JUMPER       ,OJ SOURCE SIDE OF 40415                           ,20170911,0832,20170911,1848,1875075,616,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,3,"1,848",38.11236,-121.97994,23 P S/O 40415                                                                                      ,Partly Cloudy;32-90 F                                           ,Connector or Splice (OH)    ,"Broken, wire on ground      ",17-0077611,OH,Sus,Non 2/3  
PENINSULA    ,PENINSULA       ,BURLINGAME-0404             ,024050404,JUMPER       ,WIRE  DOWN                                        ,20171020,0036,20171020,1052,1905110,616,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,531,"99,367",37.57879,-122.35668,EL  CAMINO  REAL  BET  3661  &  BUCK  TWD  2555                                                     ,"Overcast,Fog,Heavy Rain;32-90 F                                 ","Conductor, Overhead         ","Broken, wire on ground      ",17-0088851,OH,Sus,Non 2/3  
SONOMA       ,SANTA ROSA      ,SALMON CREEK-1101           ,043161101,OTHER        ,WIRE DOWN                                         ,20161001,2016,20161002,0631,1551103,615,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,387,"67,753",38.36528,-123.07070,2 SPANS FROM 2331 TWD 3209                                                                          ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0068958,OH,Sus,Tier 2   
SACRAMENTO   ,MARYSVILLE      ,WHEATLAND-1104              ,152811104,RECLOSER     ,2220,20161218,0527,20161218,1542,1605948,615,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,140,"32,598",38.98087,-121.41569,3768 GALLAGHER RD                                                                                   ,Fog;Below 32 F                                                  ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0086213,OH,Sus,Non 2/3  
SACRAMENTO   ,YOLO            ,MADISON-1103                ,063171103,FUSE         ,1927,20170608,0822,20170608,1837,1799329,615,Distribution Circuit      ,Equipment Failure/Involved  ,"Fire, pole                           ",12,"7,380",38.70913,-122.01099,AT MTR # 1005519082                                                                                 ,"Overcast,Drizzle;32-90 F                                        ",Transformer (OH)            ,"Broken, wire on ground      ",17-0053599,OH,Sus,Non 2/3  
FRESNO       ,FRESNO          ,GATES-1106                  ,253931106,RECLOSER     ,92202,20180109,0308,20180109,1323,4526,615,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,11,"5,577",36.10808,-120.23604,1 pole N of 92202 & LINE EAST OF 486649 - NE SW NW 22 21 16                                         ,"Overcast,Drizzle;32-90 F                                        ",Transformer (OH)            ,"Broken, wire on ground      ",18-0004538,OH,Sus,Non 2/3  
SACRAMENTO   ,SOLANO          ,GRAND ISLAND-2225           ,062462225,RECLOSER     ,8872,20180411,1932,20180412,0547,65000,615,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,240,"25,611",38.15100,-121.68037,"Pagan, Victor/ 5423: AT MET# 1009027241                                                             ","Overcast,Drizzle;32-90 F                                        ","Conductor, Overhead         ","Broken, wire on ground      ",18-0031451,OH,Sus,Non 2/3  
FRESNO       ,FRESNO          ,MANCHESTER-1102             ,253921102,OTHER        ,WIRE DOWN                                         ,20190710,0207,20190710,1222,443943,615,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"2,223","26,120",36.77970,-119.76415,"FULL, LARAMIE/559-317-8357: sw 1398                                                                 ",Clear;32-90 F                                                   ,"Crossarm, Wood              ","Broken, wire on ground      ",19-0075794,OH,Sus,Non 2/3  
YOSEMITE     ,YOSEMITE        ,EL NIDO-1103                ,252451103,FUSE         ,25922,20150405,1940,20150406,0554,1213037,614,Distribution Circuit      ,Equipment Failure/Involved  ,"Fire, pole                           ",7,"2,203",37.08312,-120.51220,POLE AT MTR #20P464                                                                                 ,Combination wind/rain/lightning;32 - 90 F                       ,Pole-Wood                   ,"Broken, wire on ground      ",15-0024295,OH,Sus,Non 2/3  
LOS PADRES   ,SAN LUIS OBISPO ,MORRO BAY-1102              ,183011102,SECTIONALIZER,W24                                               ,20151004,0436,20151004,1450,1316497,614,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,888,"117,974",35.33003,-120.82458,IFO meter#60K435                                                                                    ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",15-0067745,OH,Sus,Non 2/3  
CENTRAL COAST,KING CITY       ,LOS OSITOS-2102             ,182082102,OCB          ,2102/2                                            ,20161216,0119,20161216,1133,1604033,614,Distribution Circuit      ,Equipment Failure/Involved  ,Other                                ,243,"73,546",36.29382,-121.19988,Washington/1811/ 235-7300: hwy 101 at central                                                       ,"Overcast,Rain;32-90 F                                           ","Conductor, Overhead         ",On Ground                   ,16-0085936,OH,Sus,Non 2/3  
HUMBOLDT     ,EUREKA          ,HARRIS-1109                 ,192431109,RECLOSER     ,4634,20170927,1906,20170928,0520,1887095,614,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,165,"35,394",40.76055,-124.05421,"Stapleton, Travis/1981: 2 spans east of and then 1 span south of lr4218                             ",Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0082303,OH,Sus,Tier 2   
SACRAMENTO   ,MARYSVILLE      ,BARRY-1103                  ,152111103,FUSE         ,15675,20171104,0421,20171104,1435,1915685,614,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,54,"21,920",39.09777,-121.67165,1 SPAN SOUTH OF 15677 ON THE MAINLINE & MTR# 1010006559                                             ,"Overcast,Rain;32-90 F                                           ","Conductor, Overhead         ","Broken, wire on ground      ",17-0092595,OH,Sus,Non 2/3  
SIERRA       ,PLACER          ,SHADY GLEN-1102             ,152431102,OTHER        ,6343,20180226,0940,20180226,1954,31741,614,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,28,"17,192",39.12776,-120.93878,LD SIDE 6343                                                                                        ,"Overcast,Fog,Snow;32-90 F                                       ","Conductor, Overhead         ","Broken, wire on ground      ",18-0017468,OH,Sus,Tier 2   
FRESNO       ,FRESNO          ,LEMOORE-1101                ,253601101,OCB          ,1101/2                                            ,20190519,1556,20190520,0210,385474,614,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"2,414","275,023",36.30973,-119.79810,VANDERSLIK. JUSTIN: 1 N/O 218C                                                                      ,"Overcast,Rain;32-90 F                                           ","Conductor, Overhead         ","Broken, wire on ground      ",19-0053995,OH,Sus,Non 2/3  
SONOMA       ,SANTA ROSA      ,SANTA ROSA A-1108           ,042151108,FUSE         ,227775,20190918,0701,20190918,1715,589159,614,Distribution Circuit      ,Equipment Failure/Involved  ,"Fire, pole                           ",974,"21,015",38.41246,-122.70421,MTR# 1010494528                                                                                     ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0100473,OH,Sus,Non 2/3  
STOCKTON     ,DELTA           ,CORRAL-1102                 ,162991102,JUMPER       ,WIRE DOWN AT TRANS POLE 10/198                    ,20191010,0419,20191010,1433,652929,614,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,5,"3,070",38.12972,-120.90384,TRANS POLE 10/198                                                                                   ,Clear;32-90 F                                                   ,Connector or Splice (OH)    ,"Broken, wire on ground      ",19-0110003,OH,Sus,Tier 2   
CENTRAL COAST,COAST           ,POINT MORETTI-1101          ,082931101,FUSE         ,10977,20191020,0754,20191020,1808,674770,614,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,1,614,37.09571,-122.27796,BARGAS -1496 / 831-682-1830: 4 poles load side of c/outs 10977                                      ,Clear;32-90 F                                                   ,Insulator                   ,"Broken, wire on ground      ",19-0113792,OH,Sus,Non 2/3  
KERN         ,KERN            ,WHEELER RIDGE-1101          ,253481101,OCB          ,OCB                                               ,20150610,1753,20150611,0406,1248761,613,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,352,"115,265",35.08980,-118.97683,8 S/OF WHEELER RIGDE SUB                                                                            ,Partly cloudy;32 - 90 F                                         ,Connector or Splice (OH)    ,"Broken, wire on ground      ",15-0040222,OH,Sus,Non 2/3  
FRESNO       ,FRESNO          ,GUERNSEY-1106               ,252661106,FUSE         ,8394F                                             ,20180404,2329,20180405,0942,59833,613,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,2,"1,226",36.23884,-119.72667,MTR # 1006933929                                                                                    ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",18-0029390,OH,Sus,Non 2/3  
NORTH VALLEY ,PARADISE        ,CLARK ROAD-1102             ,103091102,RECLOSER     ,2070,20180723,1727,20180724,0340,138513,613,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"1,058","183,629",39.65686,-121.57597,CORNER OF PENTZ RD & LIME SADDLE RD                                                                 ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0062874,OH,Sus,Tier 2   
FRESNO       ,FRESNO          ,MC CALL-1101                ,254121101,OTHER        ,WIRE DOWN @ MTR 1004249982                        ,20160119,1554,20160120,0349,1387916,612,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,199,"50,907",36.67801,-119.65409,"BENTLEY, STEVE: Corner at Central Ave and Locan Ave Fresno                                          ","Overcast,Rain;32-90 F                                           ","Conductor, Overhead         ",On Ground                   ,16-0006611,OH,Sus,Non 2/3  
PENINSULA    ,PENINSULA       ,HALF MOON BAY-1101          ,024101101,OTHER        ,WIRE DOWN                                         ,20160612,0145,20160612,1328,s1208560,612,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,153,"19,836",37.47835,-122.35932,2.5 MILES S/OF HWY 92 & SKYLINE                                                                     ,Clear;32-90 F                                                   ,"Conductor, Overhead         ",On Ground                   ,16-0042637,OH,Sus,Non 2/3  
CENTRAL COAST,MONTEREY        ,OTTER-1102                  ,182941102,RECLOSER     ,2012,20180330,0241,20180330,1253,56311,612,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,504,"308,448",36.33141,-121.88287,1span SS of B104                                                                                    ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0027878,OH,Sus,Tier 2   
NORTH BAY    ,SILVERADO       ,CALISTOGA-1102              ,042711102,RECLOSER     ,706,20180522,1914,20180523,0526,92160,612,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"1,304","165,232",38.58506,-122.58056,"BOCK, MIKE 707-695-8997  #1484: Berry and myrtle                                                    ",Clear;32-90F                                                    ,"Conductor, Overhead         ","Broken, wire on object      ",18-0043378,OH,Sus,Non 2/3  
KERN         ,KERN            ,POSO MOUNTAIN-2101          ,253642101,JUMPER       ,3 PHASE WIRE DOWN                                 ,20181003,2159,20181004,0811,187815,612,Distribution Circuit      ,Equipment Failure/Involved  ,"Fire, pole                           ",29,"14,041",35.63504,-118.96345,MTR# 1009567132                                                                                     ,"Clear,Lightning;32-90 F                                         ",Pole-Wood                   ,"Broken, wire on ground      ",18-0086546,OH,Sus,Tier 2   
YOSEMITE     ,YOSEMITE        ,BIOLA-1102                  ,252211102,OTHER        ,WIRE DOWN 3 E/OF C3725                            ,20181021,0529,20181021,1541,199519,612,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,75,"41,625",36.79299,-120.21208,3 W/OF C3725 & 5 W/OF 3725                                                                          ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0092570,OH,Sus,Non 2/3  
SACRAMENTO   ,MARYSVILLE      ,PLUMAS-1101                 ,153731101,FUSE         ,9419,20170207,0423,20170207,1434,1677746,611,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,15,"9,165",39.01022,-121.52455,3 S OF 14953                                                                                        ,"Overcast,Rain,Strong Winds;32-90 F                              ",Pole-Wood                   ,"Broken, wire on ground      ",17-0018241,OH,Sus,Non 2/3  
SACRAMENTO   ,YOLO            ,WINTERS-1102                ,063321102,RECLOSER     ,48002,20190221,0857,20190221,1908,320363,611,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,197,"23,617",38.51466,-121.93863,5 S/S/O CGC 220240531725                                                                            ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0026790,OH,Sus,Non 2/3  
SIERRA       ,PLACER          ,MOUNTAIN QUARRIES-2101      ,152282101,FUSE         ,32425,20190227,0955,20190227,2006,326830,611,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,1,611,38.90538,-120.86877,BROKEN POLE 2 POLES SS OF RISER 34021                                                               ,"Overcast,Heavy Rain,Strong Winds;32-90 F                        ",Pole-Wood                   ,"Broken, wire on ground      ",19-0028907,OH,Sus,Tier 2   
FRESNO       ,FRESNO          ,KINGSBURG-1116              ,252241116,OCB          ,1116/2                                            ,20190317,2216,20190318,0827,341590,611,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"1,930","213,022",36.48857,-119.58248,W/OF 4453F                                                                                          ,Clear;32-90 F                                                   ,"Crossarm, Wood              ","Broken, wire on ground      ",19-0034526,OH,Sus,Non 2/3  
PENINSULA    ,SKYLINE         ,PACIFICA-1103               ,022811103,FUSE         ,1063,20150809,0633,20150809,1643,1285448,610,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,94,"22,492",37.59363,-122.48899,CAVANAUGH/ 276 (1276): 956 REGINA WAY.                                                              ,Overcast;32-90 F                                                ,"Crossarm, Wood              ","Broken, wire on ground      ",15-0053895,OH,Sus,Non 2/3  
HUMBOLDT     ,EUREKA          ,ARCATA-1106                 ,192021106,TRANSFORMER  ,114230157261,20151010,0020,20151010,1030,1319580,610,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,19,"11,590",40.88591,-124.08809,2581 ACHESON WAY                                                                                    ,Overcast;32-90 F                                                ,Secondary                   ,"Broken, wire on ground      ",15-0069353,OH,Sus,Non 2/3  
SACRAMENTO   ,MARYSVILLE      ,CATLETT-1102                ,153761102,OCB          ,1102/2                                            ,20151213,1006,20151213,2016,1361192,610,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,455,"50,338",38.80870,-121.51591,STEPHENSON /1588/ 530-913-1482: RIEGO RD @ CO 8887                                                  ,"Overcast,Heavy Rain,Strong Winds;32-90 F                        ","Conductor, Overhead         ","Broken, wire on ground      ",15-0084690,OH,Sus,Non 2/3  
DE ANZA      ,DE ANZA         ,LOS GATOS-1106              ,082021106,TRANSFORMER  ,315725024050,20161130,0610,20161130,1620,1591701,610,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,4,"2,440",37.15119,-121.96785,22150 LOMA PRIETA WAYLOS GATOS95033                                                                 ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0083067,OH,Sus,Tier 3   
NORTH BAY    ,NORTH BAY       ,SAN RAFAEL-1104             ,042011104,OTHER        ,WIRE DOWN 21 OAK KNOLL DR                         ,20161219,2157,20161220,0807,1607354,610,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"1,248","99,514",37.99932,-122.57644,S/S OF 6915                                                                                         ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on object      ",16-0086487,OH,Sus,Non 2/3  
STOCKTON     ,DELTA           ,CHEROKEE-1102               ,163651102,RECLOSER     ,70772,20170122,0420,20170122,1430,1658705,610,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,378,"53,157",38.00229,-121.22304,"TOBAR, FREDY // 2052: 2276 N ALPINE WAY                                                             ","Overcast,Drizzle,Strong Winds;32-90 F                           ","Conductor, Overhead         ","Broken, wire on ground      ",17-0012736,OH,Sus,Non 2/3  
PENINSULA    ,PENINSULA       ,HALF MOON BAY-1103          ,024101103,TRANSFORMER  ,314385335533,20180117,0751,20180117,1801,9481,610,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,11,"6,584",37.45993,-122.43561,CLARK/ 1076 (2418): 433 Granelli   HMB                                                              ,Clear;32-90 F                                                   ,Secondary                   ,"Broken, wire on ground      ",18-0006635,OH,Sus,Non 2/3  
